#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 03 05 05 50 270  1.5  2.6 99.00 99.00 99.00 999 1019.6  12.7  12.9 999.0 99.0 99.00
2014 03 05 06 50 115  1.0  2.0  2.73 14.81 10.34 290 1019.8  12.1  12.9 999.0 99.0 99.00
2014 03 05 07 50 121  1.1  2.0  2.46 14.81 10.05 278 1019.8  12.3  12.9 999.0 99.0 99.00
2014 03 05 08 50 105  2.0  2.9  2.77 14.81 10.79 277 1019.6  12.3  12.9 999.0 99.0 99.00
2014 03 05 09 50 105  1.2  1.9  2.83 14.81 11.20 281 1019.7  12.2  12.9 999.0 99.0 99.00
2014 03 05 10 50 124  1.6  2.7  2.23 14.81 10.25 276 1019.1  12.3  12.9 999.0 99.0 99.00
2014 03 05 11 50 112  2.3  3.3  2.35 14.81 10.31 281 1019.0  12.0  12.9 999.0 99.0 99.00
2014 03 05 12 50 133  1.8  2.8  2.66 13.79 10.84 290 1019.1  11.8  13.0 999.0 99.0 99.00
2014 03 05 13 50 116  4.1  5.2 99.00 99.00 99.00 999 1019.1  11.6  13.0 999.0 99.0 99.00
2014 03 05 14 50 122  3.5  4.9  2.40 13.79 10.61 284 1019.0  11.5  12.9 999.0 99.0 99.00
2014 03 05 15 50 140  2.0  2.9  2.55 14.81 10.75 292 1019.8  11.4  12.9 999.0 99.0 99.00
2014 03 05 16 50 163  1.9  2.6  2.18 12.90  9.88 287 1020.2  11.5  12.9 999.0 99.0 99.00
2014 03 05 17 50 132  4.0  5.1  2.28 13.79 10.13 286 1020.0  11.4  12.9 999.0 99.0 99.00
2014 03 05 18 50 150  3.6  5.1  2.29 13.79 10.08 277 1020.1  11.5  13.0 999.0 99.0 99.00
2014 03 05 19 50 183  2.4  3.7  2.09 14.81  9.65 275 1020.5  12.1  13.1 999.0 99.0 99.00
2014 03 05 20 50 154  3.5  4.4  2.07 12.90  9.62 278 1019.5  12.2  13.3 999.0 99.0 99.00
2014 03 05 21 50 148  3.2  4.2  2.31 12.90 10.13 270 1018.7  12.3  13.4 999.0 99.0 99.00
2014 03 05 22 50 159  3.3  4.4  2.42 13.79 10.74 272 1018.5  12.7  13.5 999.0 99.0 99.00
2014 03 05 23 50 155  3.3  4.1  2.19 14.81 10.19 278 1018.4  13.1  13.5 999.0 99.0 99.00
2014 03 06 00 50 154  3.8  4.4  1.91 14.81  9.51 275 1018.2  13.2  13.4 999.0 99.0 99.00
2014 03 06 01 50 167  4.0  5.0  2.06 13.79  9.92 281 1018.2  13.4  13.4 999.0 99.0 99.00
2014 03 06 02 50 150  3.8  4.6  1.97 13.79  9.60 281 1018.0  13.4  13.4 999.0 99.0 99.00
2014 03 06 03 50 141  4.3  5.1  1.82 13.79  9.13 279 1017.8  13.4  13.3 999.0 99.0 99.00
2014 03 06 04 50 160  5.6  6.5  2.02 14.81  9.28 283 1017.7  13.3  13.3 999.0 99.0 99.00
2014 03 06 05 50 176  6.7  8.3  1.95 13.79  8.44 278 1017.8  13.5  13.2 999.0 99.0 99.00
2014 03 06 06 50 182  6.4  7.5  1.79 14.81  7.38 279 1018.1  13.6  13.2 999.0 99.0 99.00
2014 03 06 07 50 193  5.0  5.7 99.00 99.00 99.00 999 1018.7  13.5  13.2 999.0 99.0 99.00
2014 03 06 08 50 210  4.3  5.1  2.20 13.79  7.98 287 1018.9  13.5  13.2 999.0 99.0 99.00
2014 03 06 09 50 247  3.4  4.3 99.00 99.00 99.00 999 1019.2  13.6  13.2 999.0 99.0 99.00
2014 03 06 10 50 265  4.2  5.1  1.95 13.79  7.70 269 1019.3  13.4  13.2 999.0 99.0 99.00
2014 03 06 11 50 278  3.7  4.7  2.04 12.12  8.07 274 1019.5  13.3  13.2 999.0 99.0 99.00
2014 03 06 12 50 326  3.4  4.9  2.23 12.90  8.55 281 1019.6  13.1  13.1 999.0 99.0 99.00
2014 03 06 13 50 343  3.7  4.7  2.18 12.90  8.62 282 1020.1  12.5  13.1 999.0 99.0 99.00
2014 03 06 14 50   8  2.4  3.7  2.16 12.12  8.45 278 1020.0  12.7  13.1 999.0 99.0 99.00
2014 03 06 15 50 299  2.3  3.3  2.19 12.12  8.29 289 1021.0  12.7  13.1 999.0 99.0 99.00
2014 03 06 16 50 285  3.5  4.6 99.00 99.00 99.00 999 1022.0  12.5  13.1 999.0 99.0 99.00
2014 03 06 18 50 292  4.0  4.7 99.00 99.00 99.00 999 1022.8  11.4  13.3 999.0 99.0 99.00
2014 03 06 19 50 303  4.3  5.2  2.51 11.43  8.96 281 1022.9  11.6  13.4 999.0 99.0 99.00
2014 03 06 20 50 327  4.5  5.7  2.42 12.90  8.85 292 1022.5  12.3  13.6 999.0 99.0 99.00
2014 03 06 21 50 315  4.1  5.1  2.48 12.12  9.04 284 1021.8  12.9  13.7 999.0 99.0 99.00
2014 03 06 22 50 316  3.9  5.0  2.92 12.90  9.64 284 1021.8  13.2  13.8 999.0 99.0 99.00
2014 03 06 23 50 311  4.4  5.5  2.79 12.12  9.48 285 1021.8  13.3  13.8 999.0 99.0 99.00
2014 03 07 00 50 311  3.8  4.9  2.90 14.81  9.77 285 1021.6  13.6  13.8 999.0 99.0 99.00
2014 03 07 01 50 318  3.3  4.4  3.15 11.43  9.97 282 1021.4  13.5  13.8 999.0 99.0 99.00
2014 03 07 02 50 319  4.6  5.6  3.24 12.12  9.90 286 1021.7  13.4  13.8 999.0 99.0 99.00
2014 03 07 03 50 314  5.3  6.9 99.00 99.00 99.00 999 1022.2  13.4  13.7 999.0 99.0 99.00
2014 03 07 04 50 328  6.1  7.6  3.67 13.79 10.14 290 1022.7  13.4  13.7 999.0 99.0 99.00
2014 03 07 05 50 342  7.6  9.5  3.89 13.79 10.07 293 1022.8  13.1  13.6 999.0 99.0 99.00
2014 03 07 06 50 344  7.9  9.7  4.07 12.90  9.96 296 1022.7  13.1  13.6 999.0 99.0 99.00
2014 03 07 07 50 346  7.8  9.8  3.70 13.79  9.52 300 1022.2  12.0  13.5 999.0 99.0 99.00
2014 03 07 08 50 323  7.7  9.2  4.15 13.79  9.75 295 1022.0  12.2  13.5 999.0 99.0 99.00
2014 03 07 09 50 339  6.9 99.0 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2014 03 07 10 50 347  7.4  8.6  4.04 13.79 10.06 296 1021.5  12.8  13.4 999.0 99.0 99.00
2014 03 07 11 50 348  7.2  8.6  4.02 13.79  9.97 295 1021.3  12.7  13.4 999.0 99.0 99.00
2014 03 07 12 50 335  5.7  6.9  4.22 13.79  9.91 298 1021.5  12.6  13.3 999.0 99.0 99.00
2014 03 07 13 50 331  6.2  7.6  3.72 13.79  9.77 283 1021.5  12.8  13.2 999.0 99.0 99.00
2014 03 07 14 50 332  6.5  8.0  3.40 13.79  9.35 286 1021.3  12.8  13.2 999.0 99.0 99.00
2014 03 07 15 50 343  8.1  9.6  3.45 13.79  9.68 289 1021.2  12.8  13.2 999.0 99.0 99.00
